Step,correct,total,accuracy
29,598,600,0.9966666666666667
38,599,600,0.9983333333333333
25,595,600,0.9916666666666667
46,600,600,1.0
40,599,600,0.9983333333333333
19,594,600,0.99
8,595,600,0.9916666666666667
22,595,600,0.9916666666666667
44,599,600,0.9983333333333333
42,600,600,1.0
2,597,600,0.995
14,595,600,0.9916666666666667
28,597,600,0.995
41,600,600,1.0
30,600,600,1.0
10,588,600,0.98
11,595,600,0.9916666666666667
16,593,600,0.9883333333333333
15,595,600,0.9916666666666667
4,594,600,0.99
23,596,600,0.9933333333333333
12,592,600,0.9866666666666667
33,598,600,0.9966666666666667
47,600,600,1.0
34,599,600,0.9983333333333333
6,596,600,0.9933333333333333
17,593,600,0.9883333333333333
24,594,600,0.99
36,599,600,0.9983333333333333
21,593,600,0.9883333333333333
20,592,600,0.9866666666666667
13,589,600,0.9816666666666667
39,600,600,1.0
35,600,600,1.0
7,595,600,0.9916666666666667
18,595,600,0.9916666666666667
3,595,600,0.9916666666666667
43,600,600,1.0
1,589,600,0.9816666666666667
37,600,600,1.0
32,598,600,0.9966666666666667
9,591,600,0.985
48,600,600,1.0
45,600,600,1.0
26,594,600,0.99
27,596,600,0.9933333333333333
5,592,600,0.9866666666666667
31,599,600,0.9983333333333333
