Step,correct,total,accuracy
1,369,400,0.9225
2,371,400,0.9275
3,371,400,0.9275
4,371,400,0.9275
5,367,400,0.9175
6,366,400,0.915
7,371,400,0.9275
8,381,400,0.9525
9,374,400,0.935
10,372,400,0.93
11,380,400,0.95
12,370,400,0.925
13,384,400,0.96
14,383,400,0.9575
15,361,400,0.9025
16,373,400,0.9325
17,373,400,0.9325
18,381,400,0.9525
19,383,400,0.9575
20,389,400,0.9725
21,384,400,0.96
22,386,400,0.965
23,390,400,0.975
24,392,400,0.98
25,385,400,0.9625
26,392,400,0.98
27,392,400,0.98
28,395,400,0.9875
29,392,400,0.98
30,392,400,0.98
31,398,400,0.995
32,396,400,0.99
33,398,400,0.995
34,397,400,0.9925
35,400,400,1.0
36,398,400,0.995
37,400,400,1.0
38,398,400,0.995
39,400,400,1.0
40,399,400,0.9975
41,398,400,0.995
42,399,400,0.9975
43,399,400,0.9975
44,400,400,1.0
45,400,400,1.0
46,400,400,1.0
47,400,400,1.0
48,400,400,1.0
